Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1316,110,Aug 8,NYY,,TOR,"W,8-2",CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,.281,.339,.441,.780,2,.53,-0.016,.05,0.00%,-1.71,SS
1317,111,Aug 9,NYY,,TOR,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.338,.439,.778,2,.77,-0.054,.06,0.00%,-0.40,SS
1318,112,Aug 10,NYY,@,TEX,"L,1-7",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.280,.337,.438,.775,2,.61,-0.035,.07,0.00%,-0.80,SS
1319,113,Aug 11,NYY,@,TEX,"W,4-2",CG,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.279,.336,.442,.778,2,.86,-0.011,.13,0.00%,-0.24,SS
1320,114,Aug 12,NYY,@,TEX,"W,5-1",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.335,.439,.774,2,.67,-0.053,.06,0.00%,-1.46,SS
1321,115,Aug 13,NYY,@,SEA,"W,11-3",CG,5,5,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.280,.335,.441,.776,2,.50,0.012,.03,0.00%,0.10,SS
1322,116,Aug 14,NYY,@,SEA,"W,6-4",CG,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.279,.334,.440,.774,2,.87,-0.029,.03,0.00%,-0.08,SS
1323,117,Aug 15,NYY,@,SEA,"L,3-7",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.333,.441,.774,2,1.12,-0.065,.02,0.00%,-0.63,SS
1324,118,Aug 17,NYY,@,MIN,"L,2-8",CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.332,.438,.770,2,.53,-0.026,.02,0.00%,-0.67,SS
1325,119,Aug 18,NYY,@,MIN,"L,2-7",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.330,.435,.764,2,.55,-0.062,.04,0.00%,-0.95,SS
1326,120,Aug 19,NYY,@,MIN,"W,13-10",CG,5,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.273,.327,.431,.758,2,1.31,-0.147,.14,-0.01%,-1.54,SS
1327,121,Aug 20,NYY,,ANA,"L,0-5",CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,.273,.328,.433,.761,2,.80,0.038,.07,0.00%,0.33,SS
1328,122,Aug 21,NYY,,ANA,"L,1-6",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.328,.431,.759,2,.72,-0.050,.12,-0.01%,-0.61,SS
1329,123,Aug 22,NYY,,ANA,"L,3-4",CG,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.272,.326,.429,.754,2,1.03,-0.092,.32,-0.02%,-0.75,SS
1330,124,Aug 23,NYY,@,CLE,"W,6-4",GS-9,5,4,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.273,.328,.429,.758,2,1.10,0.052,.39,0.01%,0.53,SS
1331,125,Aug 24,NYY,@,CLE,"W,5-4",CG,5,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,2,0,.275,.331,.436,.767,2,1.84,0.318,.42,0.04%,1.58,SS
1332,126,Aug 25,NYY,@,CLE,"L,3-4",CG,5,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.275,.330,.436,.766,2,1.33,0.104,.28,0.01%,0.87,SS
1333,127,Aug 26,NYY,@,TOR,"W,7-4",CG,5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.275,.331,.435,.766,2,1.59,0.143,.52,0.03%,0.95,SS
1334,128,Aug 27,NYY,@,TOR,"W,8-7",CG,5,4,2,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.277,.333,.441,.774,2,.68,0.101,.19,0.02%,1.15,SS
1335,129,Aug 28,NYY,@,TOR,"W,18-6",CG,6,4,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.276,.335,.440,.775,2,.42,0.018,.11,0.00%,0.22,SS
1336,130,Aug 29,NYY,@,TOR,"L,4-6",CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,.274,.334,.436,.770,2,1.13,-0.198,.21,-0.02%,-2.25,SS
1337,131,Aug 31,NYY,,CLE,"L,0-22",GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.333,.435,.767,2,.34,-0.017,.10,0.00%,-0.36,SS
1338,132,Sep 1,NYY,,CLE,"W,5-3",CG,5,4,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,.277,.336,.439,.774,2,1.04,0.209,.41,0.05%,2.15,SS
1339,133,Sep 2,NYY,,CLE,"W,9-1",CG,5,3,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,.275,.336,.436,.773,2,.40,-0.020,.09,0.00%,0.62,SS
