Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1425,71,Jun 17,NYY,,TBR,"W,3-0",CG,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.233,.316,.448,.764,9,.65,-0.019,1.18,-0.02%,0.23,5.00,6.00,LF
1426,72,Jun 18,NYY,,TBR,"W,6-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.233,.316,.448,.764,5,,,,,,0.00,0.00,LF
1427,73,Jun 19,NYY,,TBR,"W,12-1",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.315,.445,.760,9,.29,-0.035,.48,-0.04%,-1.11,3.00,3.00,LF
1428,74,Jun 20,NYY,,HOU,"W,10-6",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.234,.317,.444,.761,9,.32,0.013,.39,0.01%,-0.05,5.00,6.00,CF
1429,75,Jun 21,NYY,,HOU,"W,4-1",CG,3,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.236,.318,.446,.764,6,.64,0.004,.71,0.00%,0.08,7.00,9.20,LF CF
1430,76,Jun 22,NYY,,HOU,"W,7-5",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.236,.318,.446,.764,4,,,,,,0.00,0.00,LF
1431,77,Jun 23,NYY,,HOU,"L,4-9",CG,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.238,.321,.447,.768,9,.24,0.012,.25,0.01%,0.09,7.00,9.20,LF
1432,78,Jun 24,NYY,,TOR,"W,10-8",CG,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.234,.317,.440,.756,9,.96,-0.091,1.02,-0.06%,-1.36,4.00,6.70,LF
1433,79,Jun 25,NYY,,TOR,"W,4-3",4-GF,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.313,.434,.748,4,.71,-0.059,.73,-0.04%,-0.95,0.00,0.00,LF
1434,80,Jun 26,NYY,,TOR,"W,8-7",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.313,.431,.744,9,1.33,-0.113,1.28,-0.07%,-0.94,3.00,3.00,LF
1435,81,Jun 29,NYY,@,BOS,"W,17-13",CG,5,4,2,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,.232,.314,.440,.754,9,.76,0.262,.87,0.18%,1.52,22.00,31.90,LF
1436,82,Jun 30,NYY,@,BOS,"W,12-8",CG,5,4,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.236,.319,.441,.760,9,.86,0.033,.86,0.02%,1.09,12.00,15.70,LF
1437,83,Jul 2,NYY,@,NYM,"L,2-4",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.236,.318,.438,.756,8,1.02,-0.082,.80,-0.04%,-0.75,3.00,3.00,LF
1438,84,Jul 3,NYY,@,NYM,"W,5-1",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.233,.317,.433,.750,8,.77,-0.063,.72,-0.04%,-1.05,2.00,3.00,LF
1439,85,Jul 4,NYY,@,TBR,"W,8-4",CG(10),4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.234,.316,.431,.747,9,1.76,0.053,2.07,0.04%,-0.10,5.00,6.20,LF
1440,86,Jul 5,NYY,@,TBR,"W,8-4",CG(11),5,5,2,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.240,.321,.444,.765,7,1.42,0.217,1.44,0.13%,2.70,26.00,34.90,LF CF
1441,87,Jul 6,NYY,@,TBR,"L,3-4",CG,4,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,2,0,.242,.326,.456,.782,6,1.33,0.209,1.11,0.11%,1.37,28.00,36.70,LF
1442,88,Jul 7,NYY,@,TBR,"L,1-2",CG,4,4,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.246,.328,.470,.798,6,.93,0.041,.94,0.03%,0.87,19.00,24.70,LF
1443,89,Jul 12,NYY,,TOR,"W,4-0",CG,4,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.249,.330,.481,.811,9,.53,0.104,.46,0.06%,0.80,15.00,18.20,LF
1444,90,Jul 13,NYY,,TOR,"L,1-2",CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.332,.481,.814,9,1.42,-0.012,1.21,-0.01%,-0.03,6.00,6.00,LF
1445,91,Jul 14,NYY,,TOR,"W,4-2",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.331,.478,.809,6,.59,-0.054,.52,-0.03%,-0.75,3.00,3.00,CF
1446,92,Jul 15,NYY,,TBR,"L,4-5",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.330,.473,.804,9,1.61,-0.124,2.05,-0.10%,-0.55,2.00,3.00,LF
1447,93,Jul 16,NYY,,TBR,"W,8-3",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.248,.327,.469,.796,9,2.09,-0.154,3.14,-0.14%,-0.88,0.00,0.00,LF
1448,94,Jul 18 (1),NYY,,TBR,"W,6-2",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.245,.327,.464,.791,9,.89,-0.010,1.19,-0.01%,-0.64,2.00,3.00,LF
1449,95,Jul 18 (2),NYY,,TBR,"W,5-1",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.245,.326,.465,.790,1,.78,-0.041,.91,-0.03%,0.07,5.00,6.00,CF
1450,97 (1),Jul 20,NYY,,COL,"W,11-5",CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.243,.325,.460,.785,9,.26,-0.017,.16,-0.01%,-0.65,4.00,6.20,LF
1451,108 (10),Aug 2,NYY,,BOS,"W,4-2",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.322,.456,.778,9,.55,-0.041,.46,-0.02%,-0.66,0.00,0.00,CF
1452,109,Aug 3 (1),NYY,,BOS,"W,9-2",CG,4,4,2,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,.247,.327,.459,.786,9,.75,0.136,.52,0.06%,2.48,22.00,28.40,CF
1453,110,Aug 3 (2),NYY,,BOS,"W,6-4",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.326,.458,.784,4,.15,-0.004,.09,0.00%,-0.11,0.00,0.00,PH CF
1454,111,Aug 4,NYY,,BOS,"W,7-4",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.247,.328,.460,.788,5,.31,-0.012,.17,0.00%,0.12,9.00,12.20,CF
1455,112,Aug 5,NYY,@,BAL,"W,9-6",CG,4,4,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.253,.332,.473,.805,6,.74,0.116,.35,0.03%,1.49,24.00,31.10,CF
1456,113,Aug 6,NYY,@,BAL,"W,9-4",CG,5,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.253,.333,.479,.812,5,.61,-0.030,.24,-0.01%,0.44,16.00,21.70,CF
1457,114,Aug 7,NYY,@,BAL,"W,14-2",CG,5,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.255,.334,.484,.818,6,.53,-0.030,.21,-0.01%,0.04,14.00,18.70,CF
1458,116 (1),Aug 9,NYY,@,TOR,"L,2-8",GS-4,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.335,.487,.822,2,.88,-0.014,.19,0.00%,-0.15,5.00,6.00,CF
1459,117,Aug 10,NYY,@,TOR,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.334,.484,.818,6,.75,-0.022,.21,0.00%,-0.34,3.00,3.00,CF
1460,118,Aug 11,NYY,@,TOR,"W,1-0",CG,4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.256,.333,.484,.817,5,.98,0.057,.34,0.01%,0.33,7.00,9.50,CF
1461,119,Aug 12 (1),NYY,,BAL,"W,8-5",CG,4,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.258,.338,.487,.825,1,.41,0.043,.14,0.01%,0.64,15.00,21.60,CF
1462,120,Aug 12 (2),NYY,,BAL,"W,11-8",CG,5,4,0,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,.258,.338,.490,.828,5,.64,0.173,.19,0.03%,1.66,16.00,22.50,CF
1463,122 (1),Aug 14,NYY,,BAL,"W,6-5",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.256,.337,.486,.823,1,.60,-0.001,.16,0.00%,-0.15,2.00,3.00,CF
1464,123,Aug 15,NYY,,CLE,"L,5-19",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.253,.337,.482,.819,6,.29,0.011,.06,0.00%,-0.50,2.00,3.00,CF
1465,124,Aug 16,NYY,,CLE,"W,3-2",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.336,.482,.818,7,.74,-0.046,.20,-0.01%,-0.87,5.00,6.00,CF
1466,125,Aug 17,NYY,,CLE,"W,6-5",GS-7,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.251,.333,.478,.811,1,1.07,-0.081,.20,-0.01%,-0.74,0.00,0.00,CF
1467,126,Aug 18,NYY,,CLE,"L,4-8",CG,4,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,.254,.335,.484,.819,6,.35,0.028,.05,0.00%,0.44,10.00,12.00,CF
